id;creation_date;observations;is_active
1;2019-06-05T14:00:39;Robust Louisiana;true
2;2019-06-04T18:44:15;SSL bandwidth;true
3;2019-06-04T23:19:04;Configurable iterate Liechtenstein;false
4;2019-06-04T21:14:26;encoding Direct;false
5;2019-06-05T15:47:30;Interactions;true
6;2019-06-05T14:53:04;time-frame Quality;true
7;2019-06-05T05:29:42;Borders Practical;false
8;2019-06-05T10:02:18;knowledge user Danish Krone;true
9;2019-06-04T18:22:01;neural Wooden Optimization;true
10;2019-06-05T15:41:38;Austria mindshare EXE;false
